Latitude,Longitude,Depth,Nitrogen (g/kg),Phosphorus (mg/kg),Potassium (cmol/kg),pH,Temperature (°C),Humidity (%),Rainfall (mm),Time of Day (Hour),Disease
17.385,78.4867,5-15 cm,0.3782,40.41,0.3296,6.75,29.29,94.61,150.93,5,Sheath Blight
17.385,78.4867,5-15 cm,0.4867,32.34,0.4527,5.63,18.56,66.94,189.19,1,Healthy
17.385,78.4867,30-60 cm,0.5617,58.13,0.1434,6.97,34.84,74.53,58.31,13,Suboptimal Growth
17.385,78.4867,15-30 cm,0.5002,37.44,0.2098,7.32,28.16,72.96,129.76,10,Sheath Blight
17.385,78.4867,30-60 cm,0.1396,56.18,0.3069,5.35,24.18,46.89,124.59,9,Suboptimal Growth
17.385,78.4867,5-15 cm,0.6988,32.08,0.6645,4.92,33.58,77.01,111.02,19,Rice Blast
17.385,78.4867,30-60 cm,0.3346,29.32,0.5256,5.67,27.41,61.35,168.82,13,Healthy
17.385,78.4867,30-60 cm,0.4618,20.61,0.6986,5.57,30.05,90.89,248.03,1,Rice Blast
17.385,78.4867,15-30 cm,0.3085,49.82,0.4707,7.23,31.4,93.89,274.73,0,Sheath Blight
17.385,78.4867,5-15 cm,0.5577,50.84,0.5656,5.6,19.4,61.41,59.11,11,Suboptimal Growth
17.385,78.4867,5-15 cm,0.4596,42.95,0.8199,6.84,15.33,59.24,112.87,17,Suboptimal Growth
17.385,78.4867,5-15 cm,0.5715,28.66,0.225,7.19,25.02,65.89,136.31,10,Sheath Blight
17.385,78.4867,0-5 cm,0.1318,30.11,0.7153,4.54,21.98,72.19,102.27,19,Suboptimal Growth
17.385,78.4867,5-15 cm,0.5928,24.47,0.3764,6.78,28.29,90.61,206.8,2,Sheath Blight
17.385,78.4867,30-60 cm,0.316,37.02,0.7798,5.68,22.35,68.68,184.73,2,Healthy
17.385,78.4867,15-30 cm,0.4924,62.79,0.2515,4.99,23.2,44.09,105.94,0,Suboptimal Growth
17.385,78.4867,30-60 cm,0.4229,49.22,0.465,5.63,30.99,93.9,191.9,22,Rice Blast
17.385,78.4867,5-15 cm,0.5513,37.65,0.3198,6.06,29.94,91.2,153.55,20,Rice Blast
17.385,78.4867,0-5 cm,0.4861,37.32,0.1964,7.08,27.9,69.93,142.47,16,Sheath Blight
17.385,78.4867,15-30 cm,0.3402,33.7,0.4572,6.27,24.53,70.5,190.06,8,Healthy
17.385,78.4867,0-5 cm,0.3568,29.18,0.3002,7.14,31.27,90.3,277.6,4,Sheath Blight
17.385,78.4867,15-30 cm,0.4162,26.56,0.259,7.06,27.17,78.75,105.22,19,Sheath Blight
17.385,78.4867,0-5 cm,0.1047,38.56,0.7022,6.96,30.85,68.3,125.23,0,Suboptimal Growth
17.385,78.4867,5-15 cm,0.3837,17.61,0.3327,7.27,30.99,93.05,170.54,5,Sheath Blight
17.385,78.4867,5-15 cm,0.3746,27.31,0.7125,6.08,22.19,55.19,102.99,19,Healthy
17.385,78.4867,5-15 cm,0.6374,20.58,0.6928,5.61,24.62,85.31,151.59,22,Rice Blast
17.385,78.4867,0-5 cm,0.6877,30.74,0.8555,5.1,29.2,64.45,148.14,7,Rice Blast
17.385,78.4867,5-15 cm,0.3714,14.77,0.7679,4.26,16.74,73.94,96.75,4,Suboptimal Growth
17.385,78.4867,0-5 cm,0.6938,67.8,0.9861,5.86,18.95,86.92,118.04,11,Suboptimal Growth
17.385,78.4867,15-30 cm,0.396,35.83,0.4444,6.39,19.22,65.05,131.3,18,Healthy
17.385,78.4867,0-5 cm,0.4754,38.14,0.9412,6.8,26.67,88.25,283.75,21,Rice Blast
17.385,78.4867,5-15 cm,0.5419,37.63,0.1744,6.58,28.1,65.44,188.78,9,Sheath Blight
17.385,78.4867,15-30 cm,0.4957,35.22,0.559,5.56,23.01,73.01,143.35,13,Healthy
17.385,78.4867,15-30 cm,0.5987,44.71,0.2841,7.48,25.05,65.5,112.67,16,Sheath Blight
17.385,78.4867,5-15 cm,0.6259,29.75,0.5405,6.3,27.35,87.2,150.3,5,Rice Blast
17.385,78.4867,5-15 cm,0.5406,27.62,0.2344,7.31,29.06,41.98,81.14,7,Suboptimal Growth
17.385,78.4867,30-60 cm,0.4235,29.99,0.656,5.55,21.6,87.15,136.57,10,Suboptimal Growth
17.385,78.4867,30-60 cm,0.5461,36.99,0.2859,7.18,26.11,74.88,117.57,16,Sheath Blight
17.385,78.4867,15-30 cm,0.6537,22.35,0.2388,6.65,31.13,90.32,195.03,5,Sheath Blight
17.385,78.4867,15-30 cm,0.7519,59.34,0.7866,5.33,28.52,75.83,110.78,11,Rice Blast
17.385,78.4867,5-15 cm,0.3974,28.96,0.7286,4.73,16.69,46.47,53.11,22,Suboptimal Growth
17.385,78.4867,5-15 cm,0.417,21.68,0.5209,6.32,31.24,50.67,93.14,15,Suboptimal Growth
17.385,78.4867,15-30 cm,0.4358,27.25,0.1525,6.88,27.82,67.43,172.12,8,Sheath Blight
17.385,78.4867,0-5 cm,0.5338,37.99,0.211,7.18,28.59,69.37,163.3,8,Sheath Blight
17.385,78.4867,15-30 cm,0.4208,23.38,0.3005,6.29,26.55,93.89,178.5,4,Rice Blast
17.385,78.4867,30-60 cm,0.6557,43.99,0.1771,6.19,31.59,92.45,281.25,20,Sheath Blight
17.385,78.4867,30-60 cm,0.4541,63.44,0.4138,4.53,22.42,84.17,117.99,6,Suboptimal Growth
17.385,78.4867,0-5 cm,0.6078,11.11,0.2257,7.0,29.47,92.15,271.49,3,Sheath Blight
17.385,78.4867,0-5 cm,0.7285,39.42,0.1336,6.37,30.23,91.85,98.9,7,Suboptimal Growth
17.385,78.4867,0-5 cm,0.1502,15.69,0.1428,4.83,29.85,82.03,53.08,2,Suboptimal Growth
17.385,78.4867,15-30 cm,0.599,35.49,0.4905,5.63,24.14,69.02,136.18,2,Healthy
17.385,78.4867,5-15 cm,0.6098,42.39,0.5965,4.96,33.24,60.02,113.33,11,Rice Blast
17.385,78.4867,0-5 cm,0.4591,29.78,0.1087,7.27,25.43,64.9,131.81,16,Sheath Blight
17.385,78.4867,0-5 cm,0.5795,41.46,0.7323,6.37,19.25,51.05,180.11,20,Healthy
17.385,78.4867,5-15 cm,0.1667,58.22,0.2079,6.38,27.28,60.77,124.8,17,Suboptimal Growth
17.385,78.4867,15-30 cm,0.5414,31.78,0.1074,7.83,29.14,77.29,151.71,19,Sheath Blight
17.385,78.4867,30-60 cm,0.57,34.85,0.3964,6.41,29.91,90.47,178.4,2,Sheath Blight
17.385,78.4867,30-60 cm,0.2326,32.97,0.3704,6.14,19.9,50.65,167.78,2,Healthy
17.385,78.4867,5-15 cm,0.2242,45.48,0.5703,6.18,22.54,64.56,154.17,0,Healthy
17.385,78.4867,15-30 cm,0.1344,42.33,0.5907,5.96,30.13,59.14,106.31,6,Suboptimal Growth
17.385,78.4867,30-60 cm,0.6151,29.92,0.3304,7.15,28.67,91.27,159.26,20,Sheath Blight
17.385,78.4867,15-30 cm,0.5355,39.59,0.8142,5.85,28.82,86.75,117.86,23,Suboptimal Growth
17.385,78.4867,15-30 cm,0.1045,28.83,0.1962,6.19,28.0,74.32,140.4,6,Suboptimal Growth
17.385,78.4867,15-30 cm,0.1976,30.07,0.3792,7.48,25.83,63.67,53.31,4,Suboptimal Growth
17.385,78.4867,5-15 cm,0.4476,35.49,0.2028,7.88,28.27,69.87,152.59,16,Sheath Blight
17.385,78.4867,15-30 cm,0.4754,44.8,0.2908,7.25,27.1,79.7,164.6,8,Sheath Blight
17.385,78.4867,0-5 cm,0.5755,47.54,0.2947,6.56,29.62,94.43,216.55,20,Sheath Blight
17.385,78.4867,0-5 cm,0.3867,41.11,0.301,5.62,20.5,69.91,126.69,21,Healthy
17.385,78.4867,5-15 cm,0.5061,25.44,0.6343,6.08,24.14,89.48,207.81,4,Rice Blast
17.385,78.4867,30-60 cm,0.7981,39.82,0.8259,4.7,33.42,65.44,187.21,13,Rice Blast
17.385,78.4867,15-30 cm,0.548,30.67,0.4527,7.5,29.44,93.0,238.78,21,Sheath Blight
17.385,78.4867,30-60 cm,0.6495,40.3,0.502,5.29,30.6,69.8,180.27,11,Rice Blast
17.385,78.4867,5-15 cm,0.5176,56.77,0.2552,4.75,22.22,49.46,109.76,7,Suboptimal Growth
17.385,78.4867,5-15 cm,0.476,34.92,0.474,5.99,30.27,91.28,207.01,0,Rice Blast
17.385,78.4867,5-15 cm,0.6265,44.14,0.2624,6.41,30.38,92.3,215.01,5,Sheath Blight
